dataset,forget_class,seed,method,lpr_acc
CIFAR100,90,456,BU,61.44781144781145
CIFAR100,90,456,Target,50.0
COVID19,0,42,Retrain,80.8959067497967
COVID19,0,42,FT,96.75386283545676
COVID19,0,42,BU,94.35483870967742
COVID19,0,42,Target,70.54079696394687
COVID19,0,123,Retrain,79.17457305502846
COVID19,0,123,FT,96.8961778259691
COVID19,0,123,BU,96.42857142857144
COVID19,0,123,Target,74.96611547844945
COVID19,0,456,Retrain,78.43589048522634
COVID19,0,456,FT,96.57088641908376
COVID19,0,456,BU,95.27649769585254
COVID19,0,456,Target,59.1217132014096
COVID19,1,42,Retrain,82.75212322303736
COVID19,1,42,FT,88.33353626982436
COVID19,1,42,BU,87.09384798027457
COVID19,1,42,Target,79.15101518979635
COVID19,1,123,Retrain,83.74798331862043
COVID19,1,123,FT,89.22178929104136
COVID19,1,123,BU,87.09156494475054
COVID19,1,123,Target,83.79151319594533
COVID19,1,456,Retrain,85.2623968828955
COVID19,1,456,FT,89.43700343977352
COVID19,1,456,BU,88.19959818574776
COVID19,1,456,Target,82.13631244102159
COVID19,2,42,Retrain,84.72147837384827
COVID19,2,42,FT,91.18180150158192
COVID19,2,42,BU,90.03788667717973
COVID19,2,42,Target,87.75018100310432
COVID19,2,123,Retrain,84.20190028464599
COVID19,2,123,FT,89.43103037876759
COVID19,2,123,BU,89.33767740783718
COVID19,2,123,Target,86.11036726273717
COVID19,2,456,Retrain,85.02484453568985
COVID19,2,456,FT,91.88796155791604
COVID19,2,456,BU,90.91339621331588
COVID19,2,456,Target,85.54417467543416
COVID19,3,42,Retrain,97.23674655047203
COVID19,3,42,FT,97.44683058408548
COVID19,3,42,BU,94.89366116817098
COVID19,3,42,Target,81.38447971781305
COVID19,3,123,Retrain,95.3848946986202
COVID19,3,123,FT,97.44683058408548
COVID19,3,123,BU,94.93567797489366
COVID19,3,123,Target,88.38468720821662
COVID19,3,456,Retrain,93.49102604004564
COVID19,3,456,FT,97.3627969706401
COVID19,3,456,BU,96.00217864923748
COVID19,3,456,Target,84.92011619462599
