dataset,seed,method,unlearn_time,audit_time,total_time,lpr_acc
CIFAR10,42,BU,7.993995428085327,2.552666187286377,10.546661615371704,85.25925925925925
CIFAR10,42,SSD,15.791743278503418,2.2918503284454346,18.083593606948853,90.4074074074074
CIFAR10,42,Target,0.4892826080322265,2.876239061355591,3.3655216693878174,82.53703703703704
CIFAR10,123,Retrain,894.3738512992859,2.459446907043457,896.8332982063293,83.35185185185185
CIFAR10,123,FT,70.91187644004822,2.3627424240112305,73.27461886405945,91.0925925925926
CIFAR10,123,Fisher,1.5939996242523191,2.926703929901123,4.520703554153442,68.22222222222223
CIFAR10,123,Amnesiac,8.175957918167114,2.4677441120147705,10.643702030181885,87.74074074074075
CIFAR10,123,UNSIR,84.35498547554016,2.417623996734619,86.77260947227478,70.5925925925926
CIFAR10,123,BU,7.992503643035889,2.622078657150269,10.614582300186155,85.74074074074073
CIFAR10,123,SSD,15.967447280883787,2.385214328765869,18.352661609649655,90.03703703703704
CIFAR10,123,Target,0.4545798301696777,3.0139870643615723,3.46856689453125,82.77777777777777
CIFAR10,456,Retrain,896.7350907325745,2.4318196773529053,899.1669104099274,83.51851851851852
CIFAR10,456,FT,70.27752470970154,2.315237522125244,72.59276223182678,90.46296296296296
CIFAR10,456,Fisher,1.5946433544158936,2.908970594406128,4.5036139488220215,71.37037037037037
CIFAR10,456,Amnesiac,7.876154899597168,2.3505423069000244,10.226697206497192,86.48148148148148
CIFAR10,456,UNSIR,82.44939088821411,2.382244825363159,84.83163571357727,68.68518518518518
CIFAR10,456,BU,7.868479013442993,2.5100483894348145,10.378527402877808,85.44444444444444
CIFAR10,456,SSD,15.698578596115112,2.332632541656494,18.031211137771606,90.88888888888889
CIFAR10,456,Target,0.4474544525146484,2.7266645431518555,3.174118995666504,84.31481481481482
CIFAR100,42,Retrain,929.5356597900392,2.090926170349121,931.6265859603882,73.26599326599327
CIFAR100,42,FT,76.83499479293823,2.0921313762664795,78.92712616920471,74.94949494949495
CIFAR100,42,Fisher,0.216177225112915,2.227823495864868,2.444000720977783,58.03030303030303
CIFAR100,42,Amnesiac,0.8065464496612549,2.0743887424468994,2.8809351921081543,76.63299663299664
CIFAR100,42,UNSIR,80.92931365966797,2.126333236694336,83.0556468963623,66.4983164983165
CIFAR100,42,BU,0.8073737621307373,2.0718464851379395,2.8792202472686768,74.94949494949495
CIFAR100,42,SSD,15.507924556732178,2.089007616043091,17.59693217277527,74.94949494949495
CIFAR100,42,Target,0.4425938129425049,2.517902374267578,2.960496187210083,54.93265993265993
CIFAR100,123,Retrain,934.8888018131256,2.088963031768799,936.9777648448944,76.48148148148148
CIFAR100,123,FT,76.51627469062805,2.077154397964477,78.59342908859253,83.19865319865319
CIFAR100,123,Fisher,0.1771433353424072,2.198580265045166,2.375723600387573,56.41414141414142
CIFAR100,123,Amnesiac,0.7943985462188721,2.051287889480591,2.845686435699463,83.24915824915824
CIFAR100,123,UNSIR,81.37800455093384,2.1347060203552246,83.51271057128906,68.01346801346801
CIFAR100,123,BU,0.8018345832824707,2.07712197303772,2.8789565563201904,78.1986531986532
CIFAR100,123,SSD,15.504398584365845,2.0974395275115967,17.60183811187744,84.8989898989899
CIFAR100,123,Target,0.458961009979248,2.4312093257904053,2.8901703357696533,51.5993265993266
CIFAR100,456,Retrain,870.4579355716705,2.0260136127471924,872.4839491844177,73.19865319865319
CIFAR100,456,FT,73.71957325935364,1.982306718826294,75.70187997817993,76.61616161616162
CIFAR100,456,Fisher,0.1743395328521728,2.092219591140747,2.26655912399292,61.4983164983165
CIFAR100,456,Amnesiac,0.761836051940918,1.969977140426636,2.7318131923675537,76.58249158249157
CIFAR100,456,UNSIR,77.33050203323364,2.020622730255127,79.35112476348877,59.81481481481482
CIFAR100,456,BU,0.7852382659912109,1.974475622177124,2.759713888168335,78.1986531986532
