dataset,architecture,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability,runtime
ModelNet10,resnet18,42,Target,11.655011655011656,0.0,62.945736434108525,0.8503875968992248,0.8323219079803642,0.8182746717481229,0.060710695757904,2.1811745166778564
ModelNet10,resnet18,123,Retrain,81.7016317016317,0.0,72.36434108527132,0.8963824289405684,0.9894362805388496,0.9999999835905966,0.1279869614711023,18.68462371826172
ModelNet10,resnet18,123,FT,82.75058275058275,56.0,79.03100775193799,0.9152454780361756,0.9997507212555592,0.9890656557425724,0.232426529318695,1.7566359043121338
ModelNet10,resnet18,123,Fisher,10.023310023310025,0.0,62.36434108527131,0.813953488372093,0.0,0.0,0.0,0.2216303348541259
ModelNet10,resnet18,123,Amnesiac,75.4079254079254,24.0,79.2248062015504,0.9291989664082688,0.976861989192795,0.9705621923331348,0.1709687498815639,0.757716178894043
ModelNet10,resnet18,123,UNSIR,10.839160839160838,16.0,66.08527131782945,0.9258397932816538,0.9285211652341492,0.921702072413724,0.0302968731534472,2.584097385406494
ModelNet10,resnet18,123,BU,70.62937062937063,12.0,79.2248062015504,0.9170542635658916,0.9666427135321872,0.963268100501753,0.1613026958760788,0.7068336009979248
ModelNet10,resnet18,123,SSD,82.75058275058275,42.0,79.03100775193799,0.9170542635658916,0.999962090665993,0.9896430457911056,0.231699612765387,0.537431001663208
ModelNet10,resnet18,123,Target,11.655011655011656,0.0,55.50387596899225,0.7852713178294574,0.7678735930476762,0.7503329393323648,0.0002703682762827,1.394477128982544
BrainTumor,resnet18,123,Retrain,99.16666666666669,0.0,81.25,0.8932407407407407,0.98067498990758,0.999999969806707,0.1806940658019321,27.76681923866272
BrainTumor,resnet18,123,FT,98.58333333333331,78.0,93.47222222222224,0.9716666666666668,0.9862924863349724,0.9811520326489837,0.5685395055769589,2.358468770980835
BrainTumor,resnet18,123,Fisher,29.416666666666668,5.5,79.30555555555556,0.8694212962962964,0.0,0.0,0.0,0.9974100589752196
BrainTumor,resnet18,123,Amnesiac,69.25,23.5,86.66666666666667,0.9315046296296297,0.9448616336773912,0.940952924558876,0.234659650140257,2.3232710361480717
BrainTumor,resnet18,123,UNSIR,48.833333333333336,0.0,75.97222222222221,0.8301851851851851,0.942550265656495,0.9325929466993867,0.1182717491528729,5.178488731384277
BrainTumor,resnet18,123,BU,76.75,0.0,87.5,0.9661574074074074,0.906994656782948,0.8943092201642381,0.3022469013414457,1.773185968399048
BrainTumor,resnet18,123,SSD,98.91666666666669,72.75,92.08333333333334,0.9690277777777778,0.9998883866605948,0.9804873578399794,0.6256736559998252,0.9429690837860109
BrainTumor,resnet18,123,Target,33.333333333333336,0.0,79.86111111111111,0.8940046296296296,0.7907961832329745,0.8085556555282061,0.5881943227571589,3.299654245376587
BrainTumor,resnet18,42,Retrain,99.08333333333331,0.0,83.19444444444444,0.913449074074074,0.9771032617618466,1.000000030909556,0.1793418284356768,15.592178583145142
BrainTumor,resnet18,42,FT,98.25,78.5,90.69444444444444,0.9741898148148148,0.9862372637055918,0.9808516862435164,0.5912160178867755,1.5800151824951172
BrainTumor,resnet18,42,Fisher,11.5,72.0,79.44444444444446,0.8643981481481481,0.0,0.0,0.0,0.6640660762786865
BrainTumor,resnet18,42,Amnesiac,72.08333333333333,21.25,86.25,0.9333101851851852,0.9415597387696694,0.9435742447335604,0.224133788064862,0.8154611587524414
BrainTumor,resnet18,42,UNSIR,48.083333333333336,0.0,73.75,0.8490046296296297,0.9344255520846124,0.931757331606899,0.1207818180256555,2.966346502304077
BrainTumor,resnet18,42,BU,83.83333333333333,0.0,89.58333333333333,0.9669212962962962,0.9349332429753852,0.9264870842099934,0.1675686523574046,0.9019947052001952
BrainTumor,resnet18,42,SSD,99.0,76.25,91.38888888888889,0.9768287037037036,0.9999244689609852,0.9768901592863696,0.677699635240662,0.5371842384338379
BrainTumor,resnet18,42,Target,33.333333333333336,0.0,80.13888888888889,0.905300925925926,0.7546364300378443,0.7431679418159305,0.3136861461498453,2.1784815788269043
BrainTumor,resnet18,456,Retrain,99.16666666666669,0.0,75.0,0.8819907407407408,0.976757902934012,1.0000000268426168,0.1676458152507849,16.49309754371643
BrainTumor,resnet18,456,FT,98.66666666666669,75.75,91.25,0.9748842592592591,0.9867286937623132,0.9854479828862532,0.4861335668273749,1.6011624336242676
BrainTumor,resnet18,456,Fisher,0.1666666666666666,99.25,76.25,0.8473379629629629,0.0,0.0,0.0,0.1885192394256591
BrainTumor,resnet18,456,Amnesiac,66.41666666666667,14.0,86.25,0.9355787037037036,0.9436188120896872,0.949107445224906,0.242313810588412,1.0064690113067627
BrainTumor,resnet18,456,UNSIR,57.41666666666666,0.0,72.91666666666666,0.8299768518518518,0.9297675109363608,0.9261582564762404,0.1144653409181129,2.7400121688842773
BrainTumor,resnet18,456,BU,56.583333333333336,0.0,87.36111111111111,0.9559722222222222,0.883794933595192,0.8410591692922811,0.3984141544447158,1.07629132270813
BrainTumor,resnet18,456,SSD,98.58333333333331,75.0,90.9722222222222,0.9747453703703703,0.9999603783959236,0.976405280795005,0.6203840171692115,0.5806095600128174
BrainTumor,resnet18,456,Target,33.333333333333336,0.0,79.72222222222223,0.8945601851851852,0.9025108285584412,0.8937937620780758,0.1596933059873321,1.2027297019958496
COVID19,resnet18,456,Retrain,92.90800341782968,0.0,77.59555435077257,0.8965188572827675,0.9792707285340254,1.0000000460569387,0.0289878274401198,80.36806178092957
COVID19,resnet18,456,FT,92.25291939618344,91.98895027624307,95.83898075359176,0.9943992165024178,0.9972644362525954,0.9830153841228798,0.2706141235014579,6.424865484237671
COVID19,resnet18,456,Fisher,8.800911421247507,83.28729281767956,76.07075088099756,0.8852779405206412,0.0,0.0,0.0,1.1883726119995115
COVID19,resnet18,456,Amnesiac,58.6442608943321,16.16022099447514,93.47384114936295,0.9838447345639608,0.9684658379288376,0.9500192370292092,0.0964960185298896,2.8334028720855717
COVID19,resnet18,456,UNSIR,70.4642551979493,0.0,78.38845215505556,0.8875689713970917,0.953474467438464,0.9483071722768502,0.0371184038080537,10.678187370300291
COVID19,resnet18,456,BU,81.80005696382797,0.0,94.63946869070207,0.9888377827717976,0.9478253211535848,0.9167375985928288,0.109073577076082,7.26368522644043
COVID19,resnet18,456,SSD,92.53773853602962,88.25966850828729,95.69666576307942,0.994115023741026,0.999730310428444,0.9787103819655274,0.3180084573135702,1.7421469688415527
COVID19,resnet18,456,Target,34.26374252349758,0.0,65.76307942531852,0.847427836899588,0.9099415735011702,0.9072460246937122,0.0515563060417977,6.949434995651245
COVID19,resnet18,42,Retrain,92.90800341782968,0.0,80.8959067497967,0.9234253534920732,0.982178373918883,0.9999999834391268,0.0342738742046702,65.6525866985321
COVID19,resnet18,42,FT,91.3699800626602,91.29834254143648,96.1100569259962,0.9923923783873592,0.998536094281944,0.9843700308675912,0.2995368423985539,4.451097249984741
COVID19,resnet18,42,Fisher,5.041298775277698,9.94475138121547,75.46760639739767,0.8695686391101705,0.0,0.0,0.0,0.3473114967346191
COVID19,resnet18,42,Amnesiac,54.22956422671604,23.48066298342541,92.54540525887776,0.9822751160818124,0.9706439946624854,0.9666637170184648,0.1011163392406094,1.6889686584472656
COVID19,resnet18,42,UNSIR,72.00227855311877,0.0,76.97207915424234,0.867395657534606,0.9498454895051542,0.9577393258099258,0.0370466266069777,8.106272459030151
COVID19,resnet18,42,BU,72.2016519510111,0.0,93.43317972350232,0.9876223121923068,0.9481504420665255,0.9384714065684012,0.120614819479918,1.7138440608978271
COVID19,resnet18,42,SSD,91.74024494446029,89.50276243093923,96.4760097587422,0.9929257863395098,0.9998422879475952,0.9822371899301786,0.3510267307626873,1.826282024383545
COVID19,resnet18,42,Target,34.26374252349758,0.0,69.78178368121442,0.867644872725365,0.8134451466130859,0.8042168608443913,0.1487801926547457,1.7019155025482178
COVID19,resnet18,123,Retrain,92.509256622045,0.0,79.17457305502846,0.8984207626859277,0.981564927328218,0.9999999463821324,0.0306667588933717,63.29433274269104
COVID19,resnet18,123,FT,92.28140131016804,91.98895027624307,96.66576307942532,0.9971974221530444,0.9980456632019084,0.9853472149690522,0.2685107840203689,5.810452699661255
COVID19,resnet18,123,Fisher,0.0,100.0,77.3651396042288,0.8929249119002439,0.0,0.0,0.0,0.5725116729736328
COVID19,resnet18,123,Amnesiac,59.52720022785531,32.59668508287293,93.0130116562754,0.9865511240916762,0.9738049622925236,0.9636280411903438,0.075016130553123,1.5025370121002195
COVID19,resnet18,123,UNSIR,70.17943605810311,0.0,76.11818921116833,0.8811505871859671,0.958066849469686,0.950084837542056,0.0465231036987985,7.558661699295044
COVID19,resnet18,123,BU,79.80632298490458,0.0,95.9203036053131,0.9938745529429254,0.9750574496606802,0.9597661586711088,0.1144135844024924,1.58445405960083
COVID19,resnet18,123,SSD,92.11050982626033,94.88950276243094,97.2621306587151,0.9973985431841832,1.000000120130934,0.9815652306851828,0.3500745504676187,1.528285026550293
COVID19,resnet18,123,Target,34.26374252349758,0.0,74.04445649227434,0.8879362358887363,0.800462048537444,0.8159372527465892,0.0678272462354346,0.964111328125
YahooAnswers,mlp,42,Retrain,56.43333333333333,0.0,53.58333333333333,0.7153489197530863,0.926429218555016,0.9999999834339024,0.0085649268088773,111.59190845489502
YahooAnswers,mlp,42,FT,56.45,4.4,59.41666666666666,0.7740121913580248,0.992370055603872,0.9269628735405948,0.0198049939023676,9.234610557556152
YahooAnswers,mlp,42,Fisher,11.405555555555557,0.0,53.97222222222222,0.6779908950617284,0.7686799336309525,0.7534975661990067,0.0018858065695576,0.6269810199737549
YahooAnswers,mlp,42,Amnesiac,42.95,3.5,60.67592592592592,0.762760339506173,0.9321989369715112,0.8838259824514763,0.0195151745116842,1.3775169849395752
YahooAnswers,mlp,42,UNSIR,32.03888888888889,0.0,55.18518518518518,0.6984492283950617,0.8448352312542884,0.8172986171464023,0.0030962073653305,13.13363790512085
YahooAnswers,mlp,42,BU,50.56666666666667,0.2,61.18518518518519,0.7582618827160493,0.9410101214405842,0.900795871289706,0.018305822507869,1.424112319946289
YahooAnswers,mlp,42,SSD,55.02222222222223,37.85,61.59259259259259,0.7820010802469136,0.9993925121114402,0.9289461051665132,0.0230403502798691,2.026954174041748
YahooAnswers,mlp,42,Target,49.74444444444445,0.0,60.69444444444444,0.7693060185185185,0.965567064049036,0.903383737466784,0.0208876905526173,1.4213991165161133
YahooAnswers,mlp,123,Retrain,56.83888888888889,0.0,53.56481481481481,0.7200263888888889,0.92715317268345,1.0000000043836068,0.0077088692165094,107.03338313102722
YahooAnswers,mlp,123,FT,56.422222222222224,5.0,60.953703703703695,0.7712566358024692,0.9920835579210732,0.9280672794533364,0.0197243129368065,8.003172397613525
YahooAnswers,mlp,123,Fisher,11.522222222222222,0.0,53.85185185185185,0.6669325617283951,0.0,0.0,0.0016725072007832,0.3014719486236572
YahooAnswers,mlp,123,Amnesiac,40.42777777777778,1.8,61.19444444444444,0.7719489197530864,0.9299011104203376,0.8891667072449063,0.0200227717395223,1.347496509552002
YahooAnswers,mlp,123,UNSIR,32.73888888888889,0.0,56.23148148148148,0.7043016975308642,0.8339823330190265,0.8207310774241686,0.0027261120606903,11.385043859481812
