dataset,forget_class,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability
CIFAR100,66,42,Retrain,62.888888888888886,0.0,58.04713804713805,0.9183501683501684,0.9922309246921804,0.9999999954549812,0.1076789228905426
CIFAR100,66,42,FT,61.95959595959596,7.0,71.5993265993266,0.9400112233445568,0.9988705885675612,0.991575840495879,0.1974051860930964
CIFAR100,66,42,BU,48.06060606060606,0.0,68.26599326599326,0.9434006734006734,0.9919994311485514,0.9871594673993372,0.0912895643890467
CIFAR100,66,42,Target,1.0101010101010102,0.0,50.0,0.707003367003367,0.6821472068462692,0.6855724191820335,0.0791329358467233
CIFAR100,66,123,Retrain,62.42424242424242,0.0,56.34680134680134,0.9146913580246914,0.9920997871728316,0.9999999534444186,0.1016093938176144
CIFAR100,66,123,FT,61.4040404040404,6.0,64.78114478114479,0.930314253647587,0.9987810991112084,0.9917497956351788,0.1858929747500512
CIFAR100,66,123,BU,50.1010101010101,1.0,64.84848484848484,0.937598204264871,0.9909242396448836,0.9850971543732104,0.110912797434901
CIFAR100,66,123,Target,1.0101010101010102,0.0,50.0,0.7037149270482604,0.7554596852368778,0.7589422322156432,0.1647886905419484
CIFAR100,66,456,Retrain,63.1010101010101,0.0,56.48148148148149,0.9293939393939392,0.9922103771788336,0.9999999507023932,0.1059752125502803
CIFAR100,66,456,FT,61.94949494949495,8.0,73.03030303030302,0.9591021324354656,0.998911901470356,0.9916366243044548,0.1859612110590319
CIFAR100,66,456,BU,47.66666666666666,0.0,69.71380471380472,0.932581369248036,0.9918389474267408,0.985473675001717,0.0932605415600556
CIFAR100,66,456,Target,1.0101010101010102,0.0,49.966329966329965,0.7154208754208754,0.7639344127220296,0.7669343996821013,0.0575403237924874
ModelNet10,0,42,Retrain,82.75058275058275,0.0,72.36434108527132,0.909560723514212,0.9904115020136632,1.0000000442693129,0.1253139088896526
ModelNet10,0,42,FT,81.58508158508158,44.0,82.55813953488371,0.91343669250646,0.999433777124034,0.9901344444654212,0.2428003194506129
