dataset,architecture,forget_ratio,seed,method,dr_acc,lpr_acc,lpr_auroc
CIFAR100,resnet18,0.1,42,Amnesiac,4.95,50.33333333333334,0.4999733333333334
CIFAR100,resnet18,0.1,42,UNSIR,1.96,50.4,0.5042382222222223
CIFAR100,resnet18,0.1,42,BU,1.6,49.53333333333333,0.5124515555555555
CIFAR100,resnet18,0.1,42,Target,4.07,49.2,0.4807662222222222
CIFAR100,resnet18,0.1,123,Retrain,61.64,47.733333333333334,0.4685617777777778
CIFAR100,resnet18,0.1,123,FT,61.49,50.13333333333334,0.49610488888888893
CIFAR100,resnet18,0.1,123,Amnesiac,4.71,48.6,0.4894044444444444
CIFAR100,resnet18,0.1,123,UNSIR,1.94,49.4,0.49512177777777777
CIFAR100,resnet18,0.1,123,BU,1.17,50.0,0.4984657777777778
CIFAR100,resnet18,0.1,123,Target,3.73,50.46666666666666,0.5070417777777777
CIFAR100,resnet18,0.1,456,Retrain,61.1,51.26666666666667,0.5044711111111111
CIFAR100,resnet18,0.1,456,FT,62.13,49.06666666666667,0.4902364444444445
CIFAR100,resnet18,0.1,456,Amnesiac,5.66,50.86666666666666,0.49919111111111114
CIFAR100,resnet18,0.1,456,UNSIR,2.02,51.26666666666667,0.5084017777777777
CIFAR100,resnet18,0.1,456,BU,1.79,48.6,0.47887288888888885
CIFAR100,resnet18,0.1,456,Target,3.49,51.0,0.5116728888888888
ModelNet10,resnet18,0.05,42,Retrain,79.0748898678414,49.57627118644068,0.5186440677966102
ModelNet10,resnet18,0.05,42,FT,80.1762114537445,60.5225988700565,0.5765536723163842
ModelNet10,resnet18,0.05,42,Amnesiac,8.14977973568282,49.57627118644068,0.4793785310734463
ModelNet10,resnet18,0.05,42,UNSIR,16.740088105726873,41.20056497175141,0.35903954802259885
ModelNet10,resnet18,0.05,42,BU,12.004405286343612,51.271186440677965,0.5372881355932203
ModelNet10,resnet18,0.05,42,Target,5.506607929515418,51.28531073446327,0.5257062146892655
ModelNet10,resnet18,0.05,123,Retrain,79.95594713656388,52.1186440677966,0.5090395480225989
ModelNet10,resnet18,0.05,123,FT,80.94713656387665,49.618644067796616,0.47457627118644063
ModelNet10,resnet18,0.05,123,Amnesiac,9.801762114537445,56.32768361581921,0.5901129943502824
ModelNet10,resnet18,0.05,123,UNSIR,15.308370044052863,44.51977401129943,0.4629943502824859
ModelNet10,resnet18,0.05,123,BU,11.343612334801762,49.64689265536724,0.5612994350282486
ModelNet10,resnet18,0.05,123,Target,5.506607929515418,51.28531073446327,0.48615819209039546
ModelNet10,resnet18,0.05,456,Retrain,78.08370044052863,51.34180790960452,0.5062146892655367
ModelNet10,resnet18,0.05,456,FT,80.39647577092511,49.618644067796616,0.48079096045197733
ModelNet10,resnet18,0.05,456,Amnesiac,12.334801762114537,49.59039548022599,0.46073446327683615
ModelNet10,resnet18,0.05,456,UNSIR,16.18942731277533,47.994350282485875,0.4576271186440678
ModelNet10,resnet18,0.05,456,BU,18.94273127753304,47.909604519774014,0.48192090395480225
ModelNet10,resnet18,0.05,456,Target,5.506607929515418,58.827683615819204,0.5771186440677967
ModelNet10,resnet18,0.1,42,Retrain,80.94713656387665,45.79831932773109,0.45236918296730466
ModelNet10,resnet18,0.1,42,FT,79.0748898678414,50.42016806722689,0.5165595650024717
ModelNet10,resnet18,0.1,42,Amnesiac,14.427312775330396,47.47899159663865,0.4878892733564014
ModelNet10,resnet18,0.1,42,UNSIR,11.343612334801762,50.0,0.5245392274556882
ModelNet10,resnet18,0.1,42,BU,4.515418502202643,51.26050420168067,0.49480968858131485
ModelNet10,resnet18,0.1,42,Target,5.506607929515418,50.42016806722689,0.507450038839065
ModelNet10,resnet18,0.1,123,Retrain,80.72687224669603,52.94117647058824,0.530365087211355
ModelNet10,resnet18,0.1,123,FT,81.16740088105728,47.47899159663865,0.4690699809335499
ModelNet10,resnet18,0.1,123,Amnesiac,13.215859030837004,46.21848739495798,0.46688086999505685
ModelNet10,resnet18,0.1,123,UNSIR,13.986784140969164,48.31932773109243,0.47923875432525953
ModelNet10,resnet18,0.1,123,BU,8.370044052863436,48.319327731092436,0.4915260221735753
ModelNet10,resnet18,0.1,123,Target,5.506607929515418,50.84033613445378,0.49491561330414513
ModelNet10,resnet18,0.1,456,Retrain,80.2863436123348,52.521008403361336,0.5347786173292846
ModelNet10,resnet18,0.1,456,FT,80.2863436123348,52.100840336134446,0.5020125697337758
ModelNet10,resnet18,0.1,456,Amnesiac,13.43612334801762,46.63865546218487,0.46324412117788294
ModelNet10,resnet18,0.1,456,UNSIR,11.123348017621145,50.42016806722689,0.5279288185862581
ModelNet10,resnet18,0.1,456,BU,5.726872246696035,49.159663865546214,0.4904314667043288
ModelNet10,resnet18,0.1,456,Target,5.506607929515418,49.57983193277311,0.47461337476166937
BrainTumor,resnet18,0.05,42,Retrain,93.125,54.761904761904766,0.5840419501133787
BrainTumor,resnet18,0.05,42,FT,92.875,56.547619047619044,0.5617913832199547
BrainTumor,resnet18,0.05,42,Amnesiac,28.375,48.80952380952381,0.510345804988662
BrainTumor,resnet18,0.05,42,UNSIR,44.5625,57.738095238095234,0.5916950113378685
BrainTumor,resnet18,0.05,42,BU,22.5,51.78571428571428,0.5476190476190477
BrainTumor,resnet18,0.05,42,Target,35.75,53.57142857142857,0.5340136054421769
BrainTumor,resnet18,0.05,123,Retrain,93.25,47.61904761904761,0.4957482993197279
BrainTumor,resnet18,0.05,123,FT,93.0,48.80952380952381,0.5348639455782312
BrainTumor,resnet18,0.05,123,Amnesiac,24.125,52.976190476190474,0.528061224489796
BrainTumor,resnet18,0.05,123,UNSIR,32.375,48.21428571428571,0.47548185941043086
BrainTumor,resnet18,0.05,123,BU,18.4375,47.61904761904761,0.49348072562358275
BrainTumor,resnet18,0.05,123,Target,25.0,56.547619047619044,0.5579648526077098
